numero_client,nom_client,prénom_client,mail_client,telephone_client,numero_adresse
1,Dupont,Chloé,chloe.dupont@email.fr,612345678,6
2,Kim,Mathieu,mathieu.kim@email.fr,623456789,7
3,Santos,Alice,alice.santos@email.fr,634567890,8
4,Martin,Soo,soo.martin@email.fr,645678901,9
5,Ivanov,Paul,paul.ivanov@email.fr,656789012,10
6,Chen,Julie,julie.chen@email.fr,667890123,11
7,Fernandez,Thomas,thomas.fernandez@email.fr,678901234,12
8,Moreau,Sasha,sasha.moreau@email.fr,689012345,13
9,Moretti,Marie,marie.moretti@email.fr,690123456,14
10,Leroux,Kevin,kevin.leroux@email.fr,723456789,15
