numero_client,numero_adresse,nom_client,prénom_client,mail_client,telephone_client
1,6,Dupont,Chloé,chloe.dupont@email.fr,0612345678
2,7,Kim,Mathieu,mathieu.kim@email.fr,0623456789
3,8,Santos,Alice,alice.santos@email.fr,0634567890
4,9,Martin,Soo,soo.martin@email.fr,0645678901
5,10,Ivanov,Paul,paul.ivanov@email.fr,0656789012
6,11,Chen,Julie,julie.chen@email.fr,0667890123
7,12,Fernandez,Thomas,thomas.fernandez@email.fr,0678901234
8,13,Moreau,Sasha,sasha.moreau@email.fr,0689012345
9,14,Moretti,Marie,marie.moretti@email.fr,0690123456
10,15,Leroux,Kevin,kevin.leroux@email.fr,0723456789
